03-11 09:25:20: Training starting...
03-11 09:25:21: New best reward 17.0 (-100.0%) at episode 0, saving model...
03-11 09:25:21: New best reward 22.0 (+29.4%) at episode 1, saving model...
03-11 09:25:21: New best reward 26.0 (+18.2%) at episode 5, saving model...
03-11 09:25:21: New best reward 28.0 (+7.7%) at episode 9, saving model...
03-11 09:25:21: New best reward 41.0 (+46.4%) at episode 13, saving model...
03-11 09:25:21: New best reward 56.0 (+36.6%) at episode 14, saving model...
03-11 09:25:21: New best reward 71.0 (+26.8%) at episode 20, saving model...
03-11 09:25:21: New best reward 84.0 (+18.3%) at episode 216, saving model...
03-11 09:25:21: New best reward 97.0 (+15.5%) at episode 295, saving model...
03-11 09:25:21: New best reward 113.0 (+16.5%) at episode 352, saving model...
03-11 09:25:21: New best reward 140.0 (+23.9%) at episode 570, saving model...
03-11 09:25:21: New best reward 146.0 (+4.3%) at episode 598, saving model...
03-11 09:25:21: New best reward 157.0 (+7.5%) at episode 610, saving model...
03-11 09:25:21: New best reward 202.0 (+28.7%) at episode 699, saving model...
03-11 09:25:22: New best reward 226.0 (+11.9%) at episode 841, saving model...
03-11 09:25:22: New best reward 242.0 (+7.1%) at episode 893, saving model...
03-11 09:25:22: New best reward 266.0 (+9.9%) at episode 1116, saving model...
03-11 09:25:22: New best reward 357.0 (+34.2%) at episode 1119, saving model...
03-11 09:25:23: New best reward 460.0 (+28.9%) at episode 1260, saving model...
03-11 09:25:26: New best reward 477.0 (+3.7%) at episode 1723, saving model...
03-11 09:25:27: New best reward 508.0 (+6.5%) at episode 1797, saving model...
03-11 09:25:30: New best reward 529.0 (+4.1%) at episode 2139, saving model...
03-11 09:25:35: New best reward 532.0 (+0.6%) at episode 2506, saving model...
03-11 09:26:19: New best reward 572.0 (+7.5%) at episode 6137, saving model...
03-11 09:26:22: New best reward 774.0 (+35.3%) at episode 6342, saving model...
03-11 09:27:49: New best reward 1290.0 (+66.7%) at episode 11922, saving model...
03-11 09:28:05: New best reward 2094.0 (+62.3%) at episode 12527, saving model...
03-11 09:28:07: New best reward 43993.0 (+2000.9%) at episode 12533, saving model...
03-11 09:28:15: New best reward 100000.0 (+127.3%) at episode 12551, saving model...
