03-11 10:08:31: Training starting...
03-11 10:08:32: New best reward -5.7 (-100.0%) at episode 0, saving model...
03-11 10:08:32: New best reward -5.1 (-10.5%) at episode 36, saving model...
03-11 10:08:32: New best reward -3.9 (-23.5%) at episode 52, saving model...
03-11 10:08:32: New best reward -3.3 (-15.4%) at episode 53, saving model...
03-11 10:08:32: New best reward -2.7 (-18.2%) at episode 249, saving model...
03-11 10:08:34: New best reward -2.1 (-22.2%) at episode 875, saving model...
03-11 10:08:34: New best reward -0.3 (-85.7%) at episode 1102, saving model...
03-11 10:08:35: New best reward 3.3 (-1200.0%) at episode 1445, saving model...
03-11 10:08:37: New best reward 3.9 (+18.2%) at episode 2049, saving model...
03-11 10:08:57: New best reward 4.2 (+7.7%) at episode 8965, saving model...
03-11 10:08:58: New best reward 4.3 (+2.4%) at episode 9201, saving model...
03-11 10:09:06: New best reward 4.5 (+4.7%) at episode 11645, saving model...
03-11 10:09:07: New best reward 4.6 (+2.2%) at episode 11784, saving model...
03-11 10:09:09: New best reward 4.8 (+4.3%) at episode 12592, saving model...
03-11 10:09:14: New best reward 6.0 (+25.0%) at episode 13844, saving model...
03-11 10:09:19: New best reward 6.5 (+8.3%) at episode 15280, saving model...
03-11 10:09:20: New best reward 6.7 (+3.1%) at episode 15729, saving model...
03-11 10:09:27: New best reward 8.4 (+25.4%) at episode 17756, saving model...
03-11 10:09:33: New best reward 8.8 (+4.8%) at episode 19228, saving model...
03-11 10:10:10: New best reward 9.0 (+2.3%) at episode 29238, saving model...
03-11 10:11:53: New best reward 9.1 (+1.1%) at episode 53136, saving model...
03-11 10:12:04: New best reward 9.4 (+3.3%) at episode 55470, saving model...
03-11 10:12:06: New best reward 12.9 (+37.2%) at episode 55815, saving model...
03-11 10:12:07: New best reward 17.9 (+38.8%) at episode 56024, saving model...
03-11 10:13:26: New best reward 18.6 (+3.9%) at episode 72876, saving model...
03-11 10:15:03: New best reward 22.4 (+20.4%) at episode 89788, saving model...
03-11 10:16:51: New best reward 26.9 (+20.1%) at episode 110385, saving model...
03-11 10:23:30: New best reward 29.7 (+10.4%) at episode 118895, saving model...
03-11 10:23:56: New best reward 33.1 (+11.4%) at episode 121699, saving model...
03-11 10:24:04: New best reward 43.8 (+32.3%) at episode 122525, saving model...
03-11 10:25:53: New best reward 45.9 (+4.8%) at episode 137089, saving model...
03-11 10:25:57: New best reward 54.9 (+19.6%) at episode 137636, saving model...
03-11 10:27:39: New best reward 64.4 (+17.3%) at episode 151478, saving model...
03-11 10:56:43: New best reward 67.1 (+4.2%) at episode 200036, saving model...
03-11 10:57:08: New best reward 76.5 (+14.0%) at episode 203473, saving model...
03-11 11:15:27: New best reward 79.6 (+4.1%) at episode 270699, saving model...
03-11 11:19:36: New best reward 86.7 (+8.9%) at episode 286212, saving model...
03-11 11:41:57: New best reward 88.5 (+2.1%) at episode 301699, saving model...
03-11 13:31:24: New best reward 92.4 (+4.4%) at episode 325450, saving model...
03-11 15:03:10: New best reward 96.9 (+4.9%) at episode 450602, saving model...
03-11 15:17:29: New best reward 138.9 (+43.3%) at episode 535657, saving model...
